#tile_id_a,tile_id_b,dir_idx,val
0,0,0,1
0,0,1,1
0,0,2,1
0,0,3,1
0,0,4,1
0,0,5,1
0,1,0,1
0,1,2,1
0,1,4,1
0,1,5,1
0,2,2,1
0,2,4,1
0,2,5,1
0,3,0,1
0,3,2,1
0,3,4,1
0,3,5,1
0,4,2,1
0,4,4,1
0,4,5,1
0,5,2,1
0,5,4,1
0,5,5,1
0,6,2,1
0,6,4,1
0,6,5,1
0,7,2,1
0,7,4,1
0,7,5,1
0,8,2,1
0,8,4,1
0,8,5,1
0,9,2,1
0,9,4,1
0,9,5,1
0,10,2,1
0,10,4,1
0,10,5,1
0,11,2,1
0,11,4,1
0,11,5,1
0,12,2,1
0,12,4,1
0,12,5,1
0,13,2,1
0,13,4,1
0,13,5,1
0,14,2,1
0,14,4,1
0,14,5,1
0,15,2,1
0,15,4,1
0,15,5,1
0,16,0,1
0,16,1,1
0,16,2,1
0,16,4,1
0,16,5,1
0,17,0,1
0,17,2,1
0,17,4,1
0,17,5,1
0,18,4,1
0,18,5,1
0,19,4,1
0,19,5,1
0,20,4,1
0,20,5,1
0,21,2,1
0,21,4,1
0,21,5,1
0,22,2,1
0,22,4,1
0,22,5,1
0,23,4,1
0,23,5,1
0,24,4,1
0,24,5,1
0,25,4,1
0,25,5,1
0,26,4,1
0,26,5,1
0,27,4,1
0,27,5,1
0,28,4,1
0,28,5,1
0,29,1,1
0,29,2,1
0,29,4,1
0,29,5,1
0,30,0,1
0,30,2,1
0,30,4,1
0,30,5,1
0,31,0,1
0,31,4,1
0,31,5,1
0,32,4,1
0,32,5,1
0,33,0,1
0,33,4,1
0,33,5,1
0,34,4,1
0,34,5,1
0,35,2,1
0,35,4,1
0,35,5,1
0,36,4,1
0,36,5,1
0,37,4,1
0,37,5,1
0,38,0,1
0,38,4,1
0,38,5,1
0,39,4,1
0,39,5,1
0,40,0,1
0,40,1,1
0,40,4,1
0,40,5,1
0,41,0,1
0,41,2,1
0,41,4,1
0,41,5,1
0,42,0,1
0,42,2,1
0,42,4,1
0,42,5,1
0,43,0,1
0,43,4,1
0,43,5,1
0,44,0,1
0,44,4,1
0,44,5,1
0,45,4,1
0,45,5,1
0,46,4,1
0,46,5,1
0,47,4,1
0,47,5,1
0,48,4,1
0,48,5,1
0,49,4,1
0,49,5,1
0,50,0,1
0,50,4,1
0,50,5,1
0,51,1,1
0,51,4,1
0,51,5,1
0,52,0,1
0,52,2,1
0,52,4,1
0,52,5,1
0,53,0,1
0,53,4,1
0,53,5,1
0,54,0,1
0,54,4,1
0,54,5,1
0,55,2,1
0,55,4,1
0,55,5,1
0,56,4,1
0,56,5,1
0,57,4,1
0,57,5,1
0,58,2,1
0,58,4,1
0,58,5,1
0,59,2,1
0,59,4,1
0,59,5,1
0,60,2,1
0,60,4,1
0,60,5,1
0,61,4,1
0,61,5,1
0,62,4,1
0,62,5,1
0,63,1,1
0,63,4,1
0,63,5,1
0,64,0,1
0,64,4,1
0,64,5,1
0,65,0,1
0,65,4,1
0,65,5,1
0,66,4,1
0,66,5,1
0,67,4,1
0,67,5,1
0,68,4,1
0,68,5,1
0,69,4,1
0,69,5,1
0,70,4,1
0,70,5,1
0,71,4,1
0,71,5,1
0,72,4,1
0,72,5,1
0,73,4,1
0,73,5,1
0,74,4,1
0,74,5,1
0,75,0,1
0,75,1,1
0,75,4,1
0,75,5,1
0,76,0,1
0,76,4,1
0,76,5,1
0,77,0,1
0,77,4,1
0,77,5,1
0,78,4,1
0,78,5,1
0,79,4,1
0,79,5,1
0,80,4,1
0,80,5,1
